# مفردات فئة المنتج بلغات الأسواق — product-category terms per market language (L1).
# الغرض: مِصفاةُ صلةِ الرابط بالمنتج (silk_style_contract.lead_relevant_to_product)
#   تحتاج كلماتِ المنتج بلغة السوق لا بالعربية والإنجليزية وحدهما: «Pastificio
#   Milano Srl» صانعُ معكرونة إيطاليّ حقيقيّ ولا تحمل تسميتُه كلمةً عربيةً ولا
#   إنجليزيةً واحدة — فبلا هذا الجدول يُحذَف موزّعٌ صحيح.
#
# **جدولُ مطابقةٍ لا مصدرَ أرقام** (نفس إعلان data/market_locale.csv): لا يُشتقّ
#   منه رقمٌ ولا سعرٌ ولا حكم. وأثرُه **إضافيٌّ فقط**: وجودُ الكلمة يُبقي رابطاً،
#   وغيابُها لا يحذف شيئاً بذاته (الحذفُ يحتاج نشاطاً مُصنَّفاً لفئةٍ أخرى).
#   فخطأُ ترجمةٍ هنا أقصى أثره أن يفوت إبقاءَ رابطٍ، لا أن يحذف رابطاً صحيحاً
#   ولا أن يختلق معطى.
#
# التغطية: فئاتُ فصول HS (data/hs_category_l1.csv — كانت silk_ai_judge._HS_CATEGORY) × لغاتِ أسواق سِلك
#   الـ38 (data/market_locale.csv:lang_primary). صفٌّ غائب => محورُ اللغة
#   **يُعلَن متخطّى** لذلك السوق، ولا يُخمَّن.
#
# category: اسم الفئة كما في silk_ai_judge._HS_CATEGORY حرفياً.
# lang: رمز اللغة كما في market_locale.lang_primary.
# terms: كلماتٌ تجاريةٌ شائعةٌ للفئة، مفصولة بفواصل، بأحرفٍ صغيرة حيث انطبق.
# source: مصدرُ المفردة — lexical (مفردةُ لغةٍ عامة) أو trade-usage (عرفٌ تجاريّ).
category,lang,terms,source,note
منتج غذائي/زراعي,zh-CN,"食品,食物,副食,杂货,蜂蜜,食用油,乳业",lexical,
منتج كيميائي/بلاستيكي,ar,"كيماويات,كيميائية,بلاستيك,بوليمر,راتنج",lexical,
منتج كيميائي/بلاستيكي,en,"chemical,chemicals,plastic,plastics,polymer,resin",lexical,
منتج كيميائي/بلاستيكي,fr,"chimique,chimiques,plastique,polymère,résine",lexical,
منتج كيميائي/بلاستيكي,es,"quimico,quimica,plastico,polimero,resina",lexical,
منتج كيميائي/بلاستيكي,de,"chemie,chemikalien,kunststoff,polymer,harz",lexical,
منتج كيميائي/بلاستيكي,it,"chimica,chimici,plastica,polimero,resina",lexical,
منتج كيميائي/بلاستيكي,nl,"chemie,chemicaliën,kunststof,polymeer,hars",lexical,
منتج كيميائي/بلاستيكي,tr,"kimya,kimyasal,plastik,polimer,reçine",lexical,
منسوجات/ملابس/أحذية,ar,"منسوجات,أقمشة,ملابس,أحذية,خياطة,نسيج",lexical,
منسوجات/ملابس/أحذية,en,"textile,textiles,fabric,garment,apparel,clothing,footwear,shoes",lexical,
منسوجات/ملابس/أحذية,fr,"textile,tissu,vêtement,habillement,chaussure",lexical,
منسوجات/ملابس/أحذية,es,"textil,tejido,ropa,confeccion,calzado",lexical,
منسوجات/ملابس/أحذية,de,"textil,stoff,bekleidung,kleidung,schuhe",lexical,
منسوجات/ملابس/أحذية,it,"tessile,tessuti,abbigliamento,calzature",lexical,
منسوجات/ملابس/أحذية,nl,"textiel,stof,kleding,schoenen",lexical,
منسوجات/ملابس/أحذية,tr,"tekstil,kumaş,giyim,ayakkabı",lexical,
معادن/مصنوعات معدنية,ar,"معادن,حديد,صلب,ألمنيوم,نحاس,مصنوعات معدنية",lexical,
معادن/مصنوعات معدنية,en,"metal,metals,steel,iron,aluminium,aluminum,copper,hardware",lexical,
معادن/مصنوعات معدنية,fr,"métal,métaux,acier,fer,aluminium,cuivre,quincaillerie",lexical,
معادن/مصنوعات معدنية,es,"metal,metales,acero,hierro,aluminio,cobre,ferreteria",lexical,
معادن/مصنوعات معدنية,de,"metall,stahl,eisen,aluminium,kupfer,eisenwaren",lexical,
معادن/مصنوعات معدنية,it,"metallo,metalli,acciaio,ferro,alluminio,rame,ferramenta",lexical,
معادن/مصنوعات معدنية,nl,"metaal,staal,ijzer,aluminium,koper,ijzerwaren",lexical,
معادن/مصنوعات معدنية,tr,"metal,çelik,demir,alüminyum,bakır,hırdavat",lexical,
آلات/معدّات كهربائية,ar,"آلات,معدات,كهربائية,مضخات,مولدات",lexical,
آلات/معدّات كهربائية,en,"machinery,machines,equipment,electrical,electronics,pumps,generators",lexical,
آلات/معدّات كهربائية,fr,"machines,équipement,électrique,électronique,pompes",lexical,
آلات/معدّات كهربائية,es,"maquinaria,equipos,electrico,electronica,bombas",lexical,
آلات/معدّات كهربائية,de,"maschinen,geräte,elektro,elektronik,pumpen",lexical,
آلات/معدّات كهربائية,it,"macchinari,macchine,attrezzature,elettrico,elettronica,pompe",lexical,
آلات/معدّات كهربائية,nl,"machines,apparatuur,elektro,elektronica,pompen",lexical,
آلات/معدّات كهربائية,tr,"makine,ekipman,elektrik,elektronik,pompa",lexical,
مركبات/معدّات نقل,ar,"مركبات,سيارات,شاحنات,نقل,قطع غيار",lexical,
مركبات/معدّات نقل,en,"vehicle,vehicles,automotive,truck,trucks,auto parts,spare parts",lexical,
مركبات/معدّات نقل,fr,"véhicule,automobile,camion,pièces détachées",lexical,
مركبات/معدّات نقل,es,"vehiculo,automotriz,camion,repuestos",lexical,
مركبات/معدّات نقل,de,"fahrzeug,kraftfahrzeug,lkw,ersatzteile",lexical,
مركبات/معدّات نقل,it,"veicoli,automobilistico,camion,ricambi",lexical,
مركبات/معدّات نقل,nl,"voertuig,auto,vrachtwagen,onderdelen",lexical,
مركبات/معدّات نقل,tr,"araç,otomotiv,kamyon,yedek parça",lexical,
أجهزة/أدوات دقيقة,ar,"أجهزة دقيقة,أجهزة طبية,مختبرات,قياس",lexical,
أجهزة/أدوات دقيقة,en,"instrument,instruments,medical devices,laboratory,measuring,optical",lexical,
أجهزة/أدوات دقيقة,fr,"instruments,dispositifs médicaux,laboratoire,mesure,optique",lexical,
أجهزة/أدوات دقيقة,es,"instrumentos,dispositivos medicos,laboratorio,medicion,optica",lexical,
أجهزة/أدوات دقيقة,de,"instrumente,medizinprodukte,labor,messtechnik,optik",lexical,
أجهزة/أدوات دقيقة,it,"strumenti,dispositivi medici,laboratorio,misura,ottica",lexical,
أجهزة/أدوات دقيقة,nl,"instrumenten,medische hulpmiddelen,laboratorium,meting,optiek",lexical,
أجهزة/أدوات دقيقة,tr,"cihaz,tıbbi cihaz,laboratuvar,ölçüm,optik",lexical,
أثاث/ألعاب/سلع استهلاكية,ar,"أثاث,مفروشات,ألعاب,سلع استهلاكية,إضاءة,فرش",lexical,أُضيفت في الموجة د-١ (كانت بلا صفوف)
أثاث/ألعاب/سلع استهلاكية,en,"furniture,furnishings,toys,games,lighting,bedding,homeware,household goods",lexical,
أثاث/ألعاب/سلع استهلاكية,fr,"meubles,mobilier,jouets,luminaires,literie",lexical,
أثاث/ألعاب/سلع استهلاكية,de,"möbel,spielwaren,spielzeug,leuchten,bettwaren",lexical,
أثاث/ألعاب/سلع استهلاكية,it,"mobili,arredamento,giocattoli,illuminazione",lexical,
أثاث/ألعاب/سلع استهلاكية,tr,"mobilya,oyuncak,aydınlatma,ev eşyası",lexical,
خامات معدنية/وقود,ar,"خامات,معادن خام,وقود,نفط,أسمنت,جبس,ملح,كبريت",lexical,فصول 25–27
خامات معدنية/وقود,en,"ores,minerals,mineral,fuel,fuels,petroleum,oil products,cement,gypsum,salt,sulphur,bitumen",lexical,
خامات معدنية/وقود,fr,"minerais,minéraux,carburants,pétrole,ciment",lexical,
خامات معدنية/وقود,de,"erze,mineralien,brennstoffe,erdöl,zement",lexical,
خامات معدنية/وقود,tr,"cevher,mineral,yakıt,petrol,çimento",lexical,
مطاط ومنتجاته,ar,"مطاط,إطارات,منتجات مطاطية",lexical,فصل 40
مطاط ومنتجاته,en,"rubber,tyres,tires,rubber products,latex",lexical,
مطاط ومنتجاته,fr,"caoutchouc,pneus",lexical,
مطاط ومنتجاته,de,"gummi,kautschuk,reifen",lexical,
مطاط ومنتجاته,tr,"kauçuk,lastik",lexical,
جلود ومصنوعات جلدية,ar,"جلود,جلد,مصنوعات جلدية,حقائب,دباغة,فراء",lexical,فصول 41–43
جلود ومصنوعات جلدية,en,"leather,hides,skins,leather goods,tannery,bags,fur",lexical,
جلود ومصنوعات جلدية,fr,"cuir,peaux,maroquinerie,tannerie",lexical,
جلود ومصنوعات جلدية,de,"leder,häute,lederwaren,gerberei",lexical,
جلود ومصنوعات جلدية,it,"pelle,pelletteria,cuoio,conceria",lexical,
جلود ومصنوعات جلدية,tr,"deri,deri ürünleri,tabakhane",lexical,
خشب وورق ومنتجاتهما,ar,"خشب,أخشاب,ورق,كرتون,لب الورق,فلين,مطبوعات",lexical,فصول 44–49
خشب وورق ومنتجاتهما,en,"wood,timber,lumber,paper,cardboard,pulp,cork,printed matter,packaging paper",lexical,
خشب وورق ومنتجاتهما,fr,"bois,papier,carton,pâte à papier,liège",lexical,
خشب وورق ومنتجاتهما,de,"holz,papier,pappe,zellstoff,kork",lexical,
خشب وورق ومنتجاتهما,tr,"ahşap,kereste,kağıt,karton,mantar",lexical,
حجر وزجاج وخزف ومجوهرات,ar,"حجر,رخام,جرانيت,زجاج,خزف,سيراميك,مجوهرات,ذهب,أحجار كريمة",lexical,فصول 68–71
حجر وزجاج وخزف ومجوهرات,en,"stone,marble,granite,glass,ceramic,ceramics,porcelain,jewellery,jewelry,gold,gemstones,pearls",lexical,
حجر وزجاج وخزف ومجوهرات,fr,"pierre,marbre,verre,céramique,bijouterie",lexical,
حجر وزجاج وخزف ومجوهرات,de,"stein,marmor,glas,keramik,schmuck",lexical,
حجر وزجاج وخزف ومجوهرات,it,"pietra,marmo,vetro,ceramica,gioielleria",lexical,
حجر وزجاج وخزف ومجوهرات,tr,"taş,mermer,cam,seramik,mücevher,kuyumculuk",lexical,
تحف وأعمال فنية,ar,"تحف,أعمال فنية,لوحات,مقتنيات,أنتيكات",lexical,فصل 97
تحف وأعمال فنية,en,"antiques,art,artworks,paintings,collectibles,gallery",lexical,
تحف وأعمال فنية,fr,"antiquités,art,galerie,tableaux",lexical,
تحف وأعمال فنية,de,"antiquitäten,kunst,galerie,gemälde",lexical,
